
System,TestHostname/Single_Character,REPLACE,FAILED,/system/config/hostname,2022-05-11 16:01:57
System,TestHostname/Periods/Get_Hostname_Config,SUBSCRIBE,FAILED,/system/config/hostname,2022-05-11 16:01:58
System,TestHostname/Periods/Get_Hostname_Telemetry,SUBSCRIBE,FAILED,/system/state/hostname,2022-05-11 16:02:04
System,TestHostname/Periods/Delete_Hostname,DELETE,FAILED,/system/config/hostname,2022-05-11 16:02:05
System,TestHostname/Periods,UPDATE,FAILED,/system/config/hostname,2022-05-11 16:02:05
System,TestHostname/Periods,REPLACE,FAILED,/system/config/hostname,2022-05-11 16:02:05
System,TestHostname/63_Characters/Get_Hostname_Config,SUBSCRIBE,FAILED,/system/config/hostname,2022-05-11 16:02:06
System,TestHostname/63_Characters/Get_Hostname_Telemetry,SUBSCRIBE,FAILED,/system/state/hostname,2022-05-11 16:02:12
System,TestHostname/63_Characters/Delete_Hostname,DELETE,FAILED,/system/config/hostname,2022-05-11 16:02:12
System,TestHostname/63_Characters,UPDATE,FAILED,/system/config/hostname,2022-05-11 16:02:12
System,TestHostname/63_Characters,REPLACE,FAILED,/system/config/hostname,2022-05-11 16:02:12
System,TestNTPEnableConfig/configreplace//system/ntp/config/enabled,REPLACE,PASSED,/system/ntp/config/enabled,2022-05-11 16:02:13
